"sample","primary_temperate_fraction","MQ_or_better_temperate_fraction","MQ_or_better_n_detected","MQ_or_better_n_temperate_detected","MQ_or_better_fraction_of_primary_TPM"
"BS",0.0192724289068462,0.081234444692227,39,3,0.0700233756069081
"SA",0.16155349984379,0.491379021844659,45,5,0.132110534735114
"IA",0.0385924761226184,0.195367740777539,18,3,0.104069424011743
"DA",0.189243707453785,0.53240149794572,17,1,0.305778034279441
